prefixe_scian,categorie,coef_consommation,source
32732,Fab. de béton préparé,1.0,Mediane empirique RDPE 2020-2024 (n=59)
32518,Fab. d'autres produits chimiques inorg. de base,1.0,Mediane empirique RDPE 2020-2024 (n=12)
32521,Fab. de résines & de caoutchouc synthétique,1.0,Mediane empirique RDPE 2020-2024 (n=82)
11199,Toutes les autres cultures agricoles,1.0,Mediane empirique RDPE 2020-2024 (n=29)
1132,Pép. forest. & récolte de produits forestiers,1.0,Mediane empirique RDPE 2020-2024 (n=37)
3211,Scieries & préservation du bois,1.0,Mediane empirique RDPE 2020-2024 (n=30)
7139,Autres services de divertissement & loisirs,1.0,Mediane empirique RDPE 2020-2024 (n=83)
311614,Fonte graisse animale & transf. de viande carc.,1.0,Mediane empirique RDPE 2020-2024 (n=119)
212398,"Extraction de tous les autres minerais, n.c.a.",1.0,Mediane empirique RDPE 2020-2024 (n=36)
312140,Distilleries,1.0,Mediane empirique RDPE 2020-2024 (n=60)
321211,Usines de placages & contreplaqués de feuillus,1.0,Mediane empirique RDPE 2020-2024 (n=68)
71399,Tous les autres services de divert. & loisirs,1.0,Mediane empirique RDPE 2020-2024 (n=19)
212220,Extraction de minerais d'or & d'argent,1.0,Mediane empirique RDPE 2020-2024 (n=12)
212317,Extraction de grès,1.0,Mediane empirique RDPE 2020-2024 (n=13)
212323,Extraction de sable & de gravier,1.0,Mediane empirique RDPE 2020-2024 (n=56)
331523,"Fonderies, métaux non ferr. moulage sous press.",1.0,Mediane empirique RDPE 2020-2024 (n=24)
326140,Fab. de produits en mousse de polystyrène,1.0,Mediane empirique RDPE 2020-2024 (n=24)
327990,Fab. de tous les autres prod. miné. non métall.,1.0,Mediane empirique RDPE 2020-2024 (n=24)
331317,"Laminage, étirage, extrusion & alliage de l'Al",1.0,Mediane empirique RDPE 2020-2024 (n=10)
721113,Centres de villégiature,1.0,Mediane empirique RDPE 2020-2024 (n=5)
