station,nom,superficie_km2,hiver_Q2_7,hiver_Q10_7,hiver_Q5_30,ete_Q2_7,ete_Q10_7,ete_Q5_30,commentaires
093804,Denys,4660.0,14.37,10.53,12.05,47.84,31.07,41.73,1970-1993
094502,À l'Eau Claire,3830.0,60.79,41.74,51.04,79.74,60.11,58.77,1977-1993
094701,Du Nord,1410.0,4.21,2.64,3.22,17.49,12.06,15.66,1978-1993
095002,Nastapoca,12500.0,76.55,62.07,70.41,220.91,157.34,142.62,1974-1993
095003,Lac des loups marins,9176.0,65.97,55.08,60.77,122.44,75.66,70.38,1974-2020
102706,Aux Feuilles,33700.0,47.29,29.46,35.56,255.6,70.42,157.35,1987-2019
103603,Aux Mélèzes,8830.0,5.3,3.42,4.16,42.67,25.49,37.55,1970-1993
103605,Aux Mélèzes,40429.0,39.16,26.34,29.81,248.02,176.5,239.35,1970-2018
103715,Swampy Bay,8999.0,30.83,24.56,27.1,97.55,54.62,57.65,1972-1993
103801,False,2140.0,2.73,1.52,1.92,13.45,10.46,12.85,1972-1993
104001,À la Baleine,29878.0,52.64,30.49,38.87,219.52,137.77,192.85,1970-2019
104803,George,24098.0,50.4,34.34,40.96,243.8,168.49,233.25,1975-2019
120201,Dauphine,26.6,0.063,0.034,0.049,0.021,0.006,0.019,1970-2020
