station,nom_intervenant,num_site,secteur_scian,municipalite,debit_estival_m3s,volume_annuel_moyen_Mm3,premiere_annee,derniere_annee,rang
023401,CLUB DE GOLF LOTBINIÈRE INC.,45004.0,Terrains de golf & country clubs,Saint-Gilles,0.002504478230784548,0.032715288,2020.0,2024.0,7
023401,2973-9711 Québec inc.,45186.0,Terrains de golf & country clubs,Saint-Benoît-Labre,0.0020782433116774196,0.012150885,2020.0,2024.0,8
023401,Club de golf St-Georges 1964,44437.0,Terrains de golf & country clubs,Saint-Georges,0.002055562220734918,0.01098725,2021.0,2024.0,9
023401,CLUB DE GOLF LOTBINIÈRE INC.,67056.0,Terrains de golf & country clubs,Saint-Gilles,0.0015238487256073277,0.020162698,2020.0,2024.0,10
023401,COOPÉRATIVE DE SOLIDARITÉ DU CLUB DE GOLF DU LAC MÉGANTIC,47842.0,Terrains de golf & country clubs,Frontenac,0.0003153214605734767,0.00417125,2020.0,2024.0,11
023401,Les Produits Forestiers D&G Ltée,73746.0,Scieries & préservation du bois,Saint-Côme--Linière,0.00024385995370370374,0.0023999355,2023.0,2024.0,12
023401,VILLE DE SAINT-GEORGES,46107.0,Centres de ski,Saint-Georges,5.150462962962962e-05,3.6e-05,2021.0,2023.0,13
023402,VILLE DE SAINT-GEORGES,48841.0,Réseaux d'aqueduc & systèmes d'irrigation,Saint-Georges,0.11602768170051773,1.5334802,2020.0,2024.0,1
023402,VILLE DE SAINTE-MARIE,63462.0,Réseaux d'aqueduc & systèmes d'irrigation,Sainte-Marie,0.06406529320987654,0.846602,2020.0,2024.0,2
023402,VILLE DE BEAUCEVILLE,48836.0,Réseaux d'aqueduc & systèmes d'irrigation,Beauceville,0.025748370883114297,0.340247402,2020.0,2024.0,3
023402,GROUPE COLAS QUÉBEC INC.,63194.0,Extraction de pierre,Lévis,0.02370095579450418,0.313293,2023.0,2024.0,4
023402,Corporation internationale Masonite,54700.0,Usines de placages & contreplaqués de feuillus,Lac-Mégantic,0.022175410195141375,0.2929428,2020.0,2024.0,5
023402,CONCORBEC INC.,44069.0,Extraction de sable & de gravier,Vallée-Jonction,0.016477128873764343,0.1109535,2020.0,2024.0,6
023402,AGROPUR COOPÉRATIVE,45491.0,Fab. de produits laitiers,Beauceville,0.01453339207487057,0.1925918,2020.0,2024.0,7
023402,SANIMAX ACI INC.,63052.0,Fonte graisse animale & transf. de viande carc.,Lévis,0.008456661688570292,0.1117792,2020.0,2024.0,8
023402,LES LAINAGES VICTOR LTÉE,63022.0,Finissage de textiles & de tissus,Saint-Victor,0.005640350955794504,0.0881006,2020.0,2024.0,9
023402,Club de golf Le Royal Chaudière inc.,46679.0,Terrains de golf & country clubs,Lévis,0.00530950078116476,0.057132067,2020.0,2024.0,10
023402,OLYMEL S.E.C.,44043.0,Abattage d'animaux (sauf les volailles),Vallée-Jonction,0.005171457462166467,0.058315,2020.0,2023.0,11
023402,PAVAGES ABENAKIS LTEE,47570.0,Extraction de pierre,Saint-Georges,0.004833463317123448,0.0247224,2020.0,2024.0,12
023402,CLUB DE GOLF LOTBINIÈRE INC.,45004.0,Terrains de golf & country clubs,Saint-Gilles,0.002504478230784548,0.032715288,2020.0,2024.0,13
023402,2973-9711 Québec inc.,45186.0,Terrains de golf & country clubs,Saint-Benoît-Labre,0.0020782433116774196,0.012150885,2020.0,2024.0,14
023402,Club de golf St-Georges 1964,44437.0,Terrains de golf & country clubs,Saint-Georges,0.002055562220734918,0.01098725,2021.0,2024.0,15
023402,Club de Golf Sainte-Marie,44447.0,Terrains de golf & country clubs,Sainte-Marie,0.0017278967542811627,0.0227462,2020.0,2024.0,16
023402,CLUB DE GOLF LOTBINIÈRE INC.,67056.0,Terrains de golf & country clubs,Saint-Gilles,0.0015238487256073277,0.020162698,2020.0,2024.0,17
023402,COOPÉRATIVE DE SOLIDARITÉ DU CLUB DE GOLF DU LAC MÉGANTIC,47842.0,Terrains de golf & country clubs,Frontenac,0.0003153214605734767,0.00417125,2020.0,2024.0,18
023402,Les Produits Forestiers D&G Ltée,73746.0,Scieries & préservation du bois,Saint-Côme--Linière,0.00024385995370370374,0.0023999355,2023.0,2024.0,19
023402,VILLE DE SAINT-GEORGES,46107.0,Centres de ski,Saint-Georges,5.150462962962962e-05,3.6e-05,2021.0,2023.0,20
023403,VILLE DE BEAUCEVILLE,48836.0,Réseaux d'aqueduc & systèmes d'irrigation,Beauceville,0.025748370883114297,0.340247402,2020.0,2024.0,1
023403,GROUPE COLAS QUÉBEC INC.,63194.0,Extraction de pierre,Lévis,0.02370095579450418,0.313293,2023.0,2024.0,2
