station,nom,plan_deau,bv_prim,superfi_km2,n_sites_amont,n_sites_etiage,debit_obs_m3s,q27_ete_m3s,debit_preleve_etiage_m3s,pression_etiage_pct,debit_preleve_mois_01_m3s,debit_preleve_mois_02_m3s,debit_preleve_mois_03_m3s,debit_preleve_mois_04_m3s,debit_preleve_mois_05_m3s,debit_preleve_mois_06_m3s,debit_preleve_mois_07_m3s,debit_preleve_mois_08_m3s,debit_preleve_mois_09_m3s,debit_preleve_mois_10_m3s,debit_preleve_mois_11_m3s,debit_preleve_mois_12_m3s,lat,lon,source_coords,prelevements_caracterises
062701,Valin,Valin,0627 -Rivière Valin,773.33,1,1,,8.67,0.0004038306451612,0.0046575759681915,0.0006541106630824,0.0006143793616584,0.0006553315412186,0.0004645601851851,0.0003956877240143,0.0004295254629629,0.0004038306451612,0.0003755712365591,0.0003886458333333,0.0004571012544802,0.0004583680555555,0.0006237343189964,48.48794,-70.97218999999998,api,1
062803_02,Sainte-Marguerite Nord-Est,Sainte-Marguerite Nord-Est,0628 -Rivière Sainte-Marguerite,1109.95,3,3,,8.25,0.0014849945257102,0.0179966942519491,0.0016514280913978,0.0018363295931399,0.0017547950947648,0.0014946572420634,0.0014466874413295,0.001416486276455,0.0012909794065204,0.0014849708514678,0.0016837007826278,0.0014281258533879,0.0014138649791566,0.0019447864396654,48.268,-69.909,api,1
070204_03_01,Des Escoumins,Des Escoumins,0702 -Rivière des Escoumins,812.53,1,1,,4.01,0.0022072804659498,0.0550141184553526,0.0016330533154121,0.0018039622673782,0.0021057795698924,0.0020354166666666,0.0020407034050179,0.0022755092592592,0.0022072804659498,0.002135024641577,0.0019996643518518,0.0017475918458781,0.0016042476851851,0.0017043458781362,48.371389,-69.47361099999999,api,1
070401,Portneuf,Portneuf,0704 -Rivière Portneuf,3056.27,0,0,,25.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.6483648739,-69.1818846119,fermee,1
071401,Godbout,Godbout,0714 -Rivière Godbout,1639.66,0,0,,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.33075,-67.65458299999999,api,1
072301,Moisie,Moisie,0723 -Rivière Moisie,18863.58,1,1,,228.28,4.1816009557945046e-05,1.8317856096963635e-05,4.050925925925926e-05,4.621077358146324e-05,3.322879330943847e-05,3.742283950617284e-05,4.592293906810036e-05,4.1087962962962965e-05,4.1816009557945046e-05,3.472222222222223e-05,4.533179012345679e-05,3.2482078853046595e-05,3.915895061728395e-05,3.472222222222222e-05,50.35249999999998,-66.186667,api,1
072302,Pékans,Pékans,0723 -Rivière Moisie,3273.2,1,1,,34.55,4.1816009557945046e-05,0.0001210302719187,4.050925925925926e-05,4.621077358146324e-05,3.322879330943847e-05,3.742283950617284e-05,4.592293906810036e-05,4.1087962962962965e-05,4.1816009557945046e-05,3.472222222222223e-05,4.533179012345679e-05,3.2482078853046595e-05,3.915895061728395e-05,3.472222222222222e-05,52.1889580959,-66.8906636671,fermee,1
073303_01,Au Tonnerre,Au Tonnerre,0733 -Rivière au Tonnerre,694.29,0,0,,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.3080965411,-64.7464198437,fermee,1
073503,Magpie,Magpie,0735 -Rivière Magpie,7236.94,0,0,,83.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.685555999999984,-64.57861099999998,api,1
074701,Aguanish,Aguanish,0747 -Rivière Aguanish,5559.04,0,0,,59.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.2475276697,-62.1165789699,fermee,1
